second,cpu-cpu_percent[0],cpu-iowtime[1],cpu-cpu_frequency[2],cpu-null[3],cpu-null[4],cpu-null[5],cpu0-cpu_percent[0],cpu0-iowtime[1],cpu0-cpu_frequency[2],cpu0-null[3],cpu0-null[4],cpu0-null[5],cpu1-cpu_percent[0],cpu1-iowtime[1],cpu1-cpu_frequency[2],cpu1-null[3],cpu1-null[4],cpu1-null[5],cpu2-cpu_percent[0],cpu2-iowtime[1],cpu2-cpu_frequency[2],cpu2-null[3],cpu2-null[4],cpu2-null[5],cpu3-cpu_percent[0],cpu3-iowtime[1],cpu3-cpu_frequency[2],cpu3-null[3],cpu3-null[4],cpu3-null[5],cpu4-cpu_percent[0],cpu4-iowtime[1],cpu4-cpu_frequency[2],cpu4-null[3],cpu4-null[4],cpu4-null[5],cpu5-cpu_percent[0],cpu5-iowtime[1],cpu5-cpu_frequency[2],cpu5-null[3],cpu5-null[4],cpu5-null[5],cpu6-cpu_percent[0],cpu6-iowtime[1],cpu6-cpu_frequency[2],cpu6-null[3],cpu6-null[4],cpu6-null[5],cpu7-cpu_percent[0],cpu7-iowtime[1],cpu7-cpu_frequency[2],cpu7-null[3],cpu7-null[4],cpu7-null[5],irqs,ctxt,processes,procs_running,procs_blocked,totalram,freeram,cached,Reserve01,Reserve02,Reserve03,Reserve04,Reserve05,Reserve06
11-26 15:33:42.297< 2512.561141>,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,0,0,0,0,1200000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21195,14,0,2954296,2164324,1050028,0,0,0,0,0,0
11-26 15:33:43.302< 2513.564766>,62,0,0,0,0,0,98,0,1200000,0,0,0,97,0,1200000,0,0,0,98,0,1200000,0,0,0,97,0,1200000,0,0,0,41,1,1225000,0,0,0,28,1,1225000,0,0,0,17,1,1225000,0,0,0,14,0,1225000,0,0,0,12925,17876,21281,10,0,2954296,2155252,1059420,0,0,0,0,0,0
11-26 15:33:44.310< 2514.572010>,44,0,0,0,0,0,78,0,1200000,0,0,0,85,0,1200000,0,0,0,72,1,1200000,0,0,0,87,0,1200000,0,0,0,14,0,768000,0,0,0,8,0,768000,0,0,0,5,0,768000,0,0,0,0,0,768000,0,0,0,0,0,21327,4,0,2954296,2153908,1062156,0,0,0,0,0,0
11-26 15:33:45.313< 2515.575062>,29,0,0,0,0,0,67,0,1200000,0,0,0,63,0,1200000,0,0,0,50,0,1200000,0,0,0,47,0,1200000,0,0,0,3,0,1600000,0,0,0,2,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,6881,9001,21341,3,0,2954296,2154352,1064584,0,0,0,0,0,0
11-26 15:33:46.315< 2516.577818>,21,0,0,0,0,0,53,0,1200000,0,0,0,47,0,1200000,0,0,0,38,0,1200000,0,0,0,29,0,1200000,0,0,0,2,0,1500000,0,0,0,0,0,1500000,0,0,0,0,0,1500000,0,0,0,0,0,1500000,0,0,0,0,0,21347,7,0,2954296,2154532,1067120,0,0,0,0,0,0
11-26 15:33:47.319< 2517.581248>,20,0,0,0,0,0,42,1,1200000,0,0,0,34,1,1200000,0,0,0,31,0,1200000,0,0,0,27,0,1200000,0,0,0,14,0,1600000,0,0,0,6,0,1600000,0,0,0,2,0,1600000,0,0,0,2,0,1600000,0,0,0,5990,8135,21355,1,0,2954296,2142964,1070272,0,0,0,0,0,0
11-26 15:33:48.321< 2518.583316>,11,0,0,0,0,0,24,0,1200000,0,0,0,22,0,1200000,0,0,0,16,0,1200000,0,0,0,12,0,1200000,0,0,0,13,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21357,1,0,2954296,2142028,1072692,0,0,0,0,0,0
11-26 15:33:49.323< 2519.585372>,10,0,0,0,0,0,25,0,768000,0,0,0,19,0,768000,0,0,0,16,0,768000,0,0,0,10,0,768000,0,0,0,8,0,768000,0,0,0,2,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,4180,5240,21357,1,0,2954296,2141876,1075252,0,0,0,0,0,0
11-26 15:33:50.326< 2520.588780>,29,0,0,0,0,0,56,0,1200000,0,0,0,47,0,1200000,0,0,0,40,0,1200000,0,0,0,35,0,1200000,0,0,0,33,1,1600000,0,0,0,19,1,1600000,0,0,0,4,0,1600000,0,0,0,2,0,1600000,0,0,0,0,0,21367,11,0,2954296,2134012,1080176,0,0,0,0,0,0
11-26 15:33:51.330< 2521.592115>,67,0,0,0,0,0,86,0,1200000,0,0,0,85,0,1200000,0,0,0,78,0,1200000,0,0,0,71,0,1200000,0,0,0,92,2,1600000,0,0,0,76,0,1600000,0,0,0,32,1,1600000,0,0,0,13,1,1600000,0,0,0,8113,11286,21493,13,0,2954296,2102180,1089748,0,0,0,0,0,0
